timestamp,curIn,curOut,amount,txid
1511850375.5,ETH,BTC,4.494,354864
1508918000.52,ETC,ETH,0.72995453,
1512119009.66,ETH,EOS,0.84958,638475
1512125451.07,ZEC,ETC,0.02962537,800895
1512068503.72,ETH,BCH,1,836933
1510491721.46,DOGE,DGB,13181,
1510636915.18,BTC,DASH,0.33510469,
1509603771.81,LTC,ETH,2.42391648,
1512012943.25,BTC,OMG,0.00422536,705998
1511907197.08,LTC,BTC,0.72532094,829803
1509681311.53,ETH,BTC,4,
1511734956.57,SALT,BCH,102.53323292,826592
1510329594.37,LTC,BTC,77.95093835,
1511779603.65,BTC,BCH,0.00345331,208548
1512143355.69,ETH,DNT,0.02119685,840868
1511701243.9,ETH,BTC,10,27024
1512235040.26,LTC,XRP,0.00247398,583758
1512235245.41,ETH,GNT,0.09608711,870164
1511738033.44,CVC,BCH,101.31544994,359113
1512154572.48,ETH,BTC,0.24515,902363
1512137335.11,ETH,ETC,0.25896002,16419
1512223401.88,ETH,EOS,1.64490909,744415
1507893729.94,BCH,BTC,0.71914189,
1511800353.91,LTC,SALT,0.10872115,244178
1511222756.66,ETH,DASH,2.61734004,
1511981942.4,LTC,BTC,3.19561791,848062
1510054767.14,BLK,DASH,14.9999,
1508902615.13,XMR,BTC,25,
1508890269.87,LTC,EOS,2,
1512056428.66,ETH,BTC,1.42996053,842657
1512134715.24,ZEC,BTC,0.34099854,487430
1512156842.73,DGB,VTC,4172.27851142,441948
1509102747.4,ETH,OMG,4.67320382,
1510641402.38,ETC,ETH,5.79848517811,
1512250171.31,LTC,BTC,4.96249744,171442
1512055377.73,GNT,LTC,112.1062726,504539
1512051386.8,ETH,BTC,1.44504494,54837
1511965942.52,GNT,ETH,250,936106
1512178461.6,EOS,LTC,11.2804878,562539
1511273750.83,DASH,ETH,7.58422789,
1508408113.16,ETH,BTC,0.44229469,
1511976550.88,ETH,OMG,0.09205474,168517
1511333426.69,ETH,OMG,0.049,
1512245677.1,ETH,FUN,0.10867203,46476
1512216740.79,GNT,BTC,1536.55982908,371209
1512124836.13,ETH,XRP,5.5,696608
1512219336.91,ETH,SALT,0.1,107329
1512244178.42,EOS,SNT,233,875456
1512099475.15,XMR,BTC,0.27196,723833
1511206640.52,ETH,LTC,0.855572,
1511352493.49,BTC,WAVES,0.0076,
1511982502.13,BTC,DASH,0.08864917,883377
1510748900.39,ETH,RDD,0.00114,
